id,company_id,report_month,employees_total,recruited_new,resigned_total,net_growth,shortage_total,shortage_detail,notes,created_at,updated_at
003b0295-25b7-42b8-b840-2f477a0bf985,040efea9-a211-4f3d-ae6e-0da781846708,2024-08-01,65,1,1,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.324+00,2026-02-07 02:22:22.029595+00
00436c7b-9c69-4690-9255-326a27e2629d,23992ab3-034f-4b23-930e-0c12c45e6e0e,2024-04-01,27,0,0,0,2,"{""mgmt"":1,""tech"":0,""general"":1}",,2026-02-07 02:22:04.326+00,2026-02-07 02:22:20.379944+00
004a41f6-98fd-479e-9da0-c3503ed7a833,f3cd1f22-baa1-4d93-8759-1b6de4d2ba99,2024-02-01,242,1,5,-4,0,{},,2026-02-07 02:22:04.318+00,2026-02-07 02:22:15.995765+00
00557a6c-34ef-4f0d-b5bf-185cca160b4d,71b7480b-34d3-46a3-97db-1f6f97a26e84,2024-03-01,29,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.319+00,2026-02-07 02:22:20.379944+00
005b1caf-4113-44c2-9ac9-cf87770ff259,2a8c358f-d8db-4e96-8b0d-b130c7d91dd3,2025-06-01,10,0,0,0,0,{},Imported via script,2026-02-05 14:16:27.792001+00,2026-02-05 14:16:27.792001+00
006a4412-583c-4219-8ea7-9192f61ccf00,86819b48-207c-4b47-ae53-d73dba7852d4,2024-03-01,66,1,1,0,3,"{""mgmt"":1,""tech"":1,""general"":1}",,2026-02-07 02:22:04.323+00,2026-02-07 02:22:20.379944+00
006b8de8-350e-482e-ac4e-fcf0b4abcd5b,1c9139f2-49e6-4bcc-9a4d-47bda93968dc,2023-04-01,9,0,0,0,0,{},,2026-02-07 02:22:04.327+00,2026-02-07 02:22:09.609481+00
007bdab7-e845-421c-aa0e-fe830d1af4a3,e8b28211-a147-42bf-853d-5d74b0b7b1e7,2024-01-01,73,0,2,-2,0,{},,2026-02-07 02:22:04.325+00,2026-02-07 02:22:15.995765+00
007fbbfd-324e-465a-a2e0-2181bead2bbd,45374354-cefd-41ab-8245-be50edfb37b9,2024-05-01,16,0,0,0,0,{},,2026-02-07 02:22:04.318+00,2026-02-07 02:22:20.379944+00
0083e189-a385-4a31-ad1e-0fbdda22c98a,839b1381-482b-405f-97aa-59e358236168,2023-02-01,27,1,0,1,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.326+00,2026-02-07 02:22:06.98503+00
008fdda3-9418-4388-8e16-f15daed45433,6e1c8dcc-f345-4cb2-9ec6-bdcf53ee010b,2024-07-01,24,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.324+00,2026-02-07 02:22:22.029595+00
0091f5af-c5d5-4891-9fa2-53e1220c7265,deef326c-0b0b-4972-b7b2-7af60b219979,2025-10-01,32,2,0,2,0,{},Imported via script,2026-02-05 14:16:42.039794+00,2026-02-05 14:16:42.039794+00
0097ed03-79a2-4bed-84e3-207339c54618,149095cf-9907-421f-b099-41d118a39f5c,2025-11-01,10,0,0,0,0,{},Imported via script,2026-02-05 14:16:45.302068+00,2026-02-05 14:16:45.302068+00
00a2001c-48c8-4ed4-9733-643659e88537,48cc09c1-c007-4244-a46f-8e3f23e7cf94,2025-11-01,85,0,0,0,0,{},Imported via script,2026-02-05 14:16:45.302068+00,2026-02-05 14:16:45.302068+00
00a39076-3dbb-4aa4-9e7b-b912b06d408a,82ddb545-23db-46c4-b6a5-83651c27da5e,2025-01-01,5,0,0,0,0,{},Imported via script,2026-02-05 14:16:06.077037+00,2026-02-05 14:16:06.077037+00
00a3fe47-d550-48dd-be21-80a6d583bc04,8fa70c79-c002-48d7-bbf9-49b2ddd08bb5,2024-11-01,15,0,0,0,0,{},,2026-02-07 02:22:04.326+00,2026-02-07 02:22:24.996508+00
00ab0973-aa70-4f4f-a90b-24c8db6e529d,83f82777-4602-4dff-9ac2-9c61753a6dc8,2024-09-01,70,0,0,0,0,{},,2026-02-07 02:22:04.321+00,2026-02-07 02:22:22.029595+00
00b043bf-7562-4ce6-8e8c-18e9071ad8b5,b0455449-e45f-4d2d-a19c-f6d108942401,2025-11-01,102,3,1,2,0,{},Imported via script,2026-02-05 14:16:45.302068+00,2026-02-05 14:16:45.302068+00
00c887e4-4dc4-4411-8ddd-c27aab9baecf,c677b345-d8a8-4dca-b085-1530e75a193c,2025-01-01,203,3,0,3,9,"{""mgmt"":2,""tech"":1,""general"":6}",Imported via script,2026-02-05 14:16:06.077037+00,2026-02-05 14:16:06.077037+00
00cfb7de-0246-4a17-bb7d-9d6a6c714039,f19fafc1-f9c5-4bf2-8a50-8bdd39261473,2024-10-01,10,0,0,0,0,{},,2026-02-07 02:22:04.322+00,2026-02-07 02:22:24.996508+00
00d8c5c4-b020-41f6-9a25-fed7414924dc,45374354-cefd-41ab-8245-be50edfb37b9,2023-12-01,14,0,0,0,0,{},,2026-02-07 02:22:04.318+00,2026-02-07 02:22:15.995765+00
00e22a6e-beeb-44fc-8649-c63b932751ff,11d0c2a6-986f-4828-9c42-888dbe8f7611,2024-10-01,16,0,0,0,0,{},,2026-02-07 02:22:04.329+00,2026-02-07 02:22:24.996508+00
00efa20b-5fbe-4672-832e-c767dece8b09,e2f9c3f2-3f8b-4735-a915-7e5a4ce3fc68,2023-11-01,28,0,0,0,0,{},,2026-02-07 02:22:04.327+00,2026-02-07 02:22:15.995765+00
00f8d604-5f52-4048-9830-4076c0f4838b,2fdfed3c-00e1-42ea-8fd9-2df0795e87f1,2024-08-01,10,0,0,0,0,{},,2026-02-07 02:22:04.32+00,2026-02-07 02:22:22.029595+00
010930ba-1a2f-48ab-8288-37f1c2c47a4f,3f97f4b9-4fca-43c7-a8aa-93c8357acf9d,2024-12-01,13,0,0,0,0,{},,2026-02-07 02:22:04.328+00,2026-02-07 02:22:24.996508+00
010de0ad-8e8d-4eb9-9247-244723027952,fb04444c-ba53-49aa-8a9b-9639443cb7e9,2023-09-01,19,0,0,0,0,{},,2026-02-07 02:22:04.321+00,2026-02-07 02:22:14.455107+00
0114b488-4c80-4fb7-a398-1ca6a1287de5,32cd542a-f960-440a-9021-af3b033c7cc4,2023-09-01,15,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.321+00,2026-02-07 02:22:14.455107+00
0115225f-2ee2-4184-9a18-9e686c2074ab,e7db848a-a26e-4539-a830-84c0ec7b0231,2025-10-01,20,0,0,0,0,{},Imported via script,2026-02-05 14:16:42.039794+00,2026-02-05 14:16:42.039794+00
011739c8-2a4e-43e5-b44d-23909c2bbd8b,1d1f91ca-b73a-404d-8cf1-f90851baa33b,2024-04-01,6,0,0,0,0,{},,2026-02-07 02:22:04.328+00,2026-02-07 02:22:20.379944+00
011ad78a-64a8-405d-aca5-551b7a65ec13,92ac5792-3b94-42b7-bb99-cd7c5799b85f,2024-07-01,7,1,0,1,0,{},,2026-02-07 02:22:04.326+00,2026-02-07 02:22:22.029595+00
011ded4d-3fac-4d82-82c5-8d79325b39d1,23992ab3-034f-4b23-930e-0c12c45e6e0e,2024-05-01,27,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.326+00,2026-02-07 02:22:20.379944+00
012cd6a9-1b56-444f-89ac-fed9b1ba606b,57881e0f-cbfa-4ca3-94a2-6393838ef284,2023-05-01,24,0,0,0,0,{},,2026-02-07 02:22:04.32+00,2026-02-07 02:22:09.609481+00
012f3148-670e-49d7-b0b0-53f14fbfacc1,16ba5253-e231-4e47-9634-2952d3587f87,2025-01-01,221,4,3,1,6,"{""mgmt"":1,""tech"":1,""general"":4}",Imported via script,2026-02-05 14:16:06.077037+00,2026-02-05 14:16:06.077037+00
013fbf87-ac12-4b2c-a22c-0240e84585ff,d7dc1e5d-d8bc-4907-ba7e-f3d69f1a3027,2023-11-01,339,3,2,1,25,"{""mgmt"":3,""tech"":7,""general"":15}",,2026-02-07 02:22:04.328+00,2026-02-07 02:22:15.995765+00
01413157-3d9e-4b10-9af1-17891b3582c3,fc31bf9f-ac50-4eac-8b9a-099587bab77d,2024-02-01,9,1,0,1,0,{},,2026-02-07 02:22:04.326+00,2026-02-07 02:22:15.995765+00
0143fc57-537d-498c-8d23-fee41d3801e4,335aa3dc-dfc2-45c0-9b65-4d9a5792e2f7,2023-02-01,13,1,0,1,0,{},,2026-02-07 02:22:04.327+00,2026-02-07 02:22:06.98503+00
014400e8-06e4-4afb-94ec-93b6a22ce940,5e8785a5-5c4b-438d-bb5e-089e69449017,2025-04-01,800,0,0,0,0,{},Imported via script,2026-02-05 14:16:17.304151+00,2026-02-05 14:16:17.304151+00
014d4a08-dc9b-4893-8cb7-bd1d6dec0778,71cde75c-743a-4658-ba39-17ffb6807e3a,2025-03-01,21,0,0,0,0,{},Imported via script,2026-02-05 14:16:13.911181+00,2026-02-05 14:16:13.911181+00
0150052e-d0ee-4eb9-9d42-681fe2630ecd,d58446ab-d49e-4bfe-bf42-2c320d72201d,2023-10-01,49,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.323+00,2026-02-07 02:22:14.455107+00
01591a78-71bb-4504-87b2-abc9634c1398,3d7ff523-f5aa-4249-8f8d-d8afadd5bb2a,2025-03-01,55,5,5,0,5,"{""mgmt"":1,""tech"":1,""general"":3}",Imported via script,2026-02-05 14:16:13.911181+00,2026-02-05 14:16:13.911181+00
0166a8e3-2286-461c-902e-712de27d1054,4288d5e3-0a6b-4300-990e-381b718f0a65,2024-10-01,36,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.324+00,2026-02-07 02:22:24.996508+00
017224c7-6b5b-4280-8bc5-0d74edb3d4f1,e2f9c3f2-3f8b-4735-a915-7e5a4ce3fc68,2025-06-01,30,0,0,0,0,{},Imported via script,2026-02-05 14:16:27.792001+00,2026-02-05 14:16:27.792001+00
017e4bf6-cca1-489a-a747-b5904d93f6cc,55965be1-7a6c-43fd-b7ec-cf06d64c1d37,2023-09-01,40,0,0,0,3,"{""mgmt"":1,""tech"":0,""general"":2}",,2026-02-07 02:22:04.322+00,2026-02-07 02:22:14.455107+00
0184fbd3-ab9e-4754-8ef1-87cdd2beb6da,4eeb91fc-26cd-4577-9ead-aa2e7793671d,2023-08-01,237,7,2,5,7,"{""mgmt"":3,""tech"":2,""general"":2}",,2026-02-07 02:22:04.322+00,2026-02-07 02:22:14.455107+00
01850534-8c0e-4e8b-84ed-aa206fb34184,fdd41afb-4910-4d0a-a3fb-f518a6821a44,2024-03-01,61,1,0,1,4,"{""mgmt"":2,""tech"":0,""general"":2}",,2026-02-07 02:22:04.325+00,2026-02-07 02:22:20.379944+00
018e8c45-737e-4a32-bb50-ee32a4a6626c,4eeb91fc-26cd-4577-9ead-aa2e7793671d,2025-04-01,262,3,3,0,3,"{""mgmt"":1,""tech"":1,""general"":1}",Imported via script,2026-02-05 14:16:17.304151+00,2026-02-05 14:16:17.304151+00
01932412-0148-4153-864d-a6b67a430d13,f6483b02-9ec0-485b-8c47-c0460739a09c,2025-07-01,20,0,0,0,0,{},Imported via script,2026-02-05 14:16:31.116306+00,2026-02-05 14:16:31.116306+00
0196b97e-cb91-44c0-b448-a71afbb04186,86819b48-207c-4b47-ae53-d73dba7852d4,2023-07-01,68,1,1,0,3,"{""mgmt"":1,""tech"":1,""general"":1}",,2026-02-07 02:22:04.323+00,2026-02-07 02:22:09.609481+00
01bef360-e9f7-4e89-9083-fc7877903a65,83f82777-4602-4dff-9ac2-9c61753a6dc8,2025-09-01,76,1,2,-1,0,{},Imported via script,2026-02-05 14:16:37.827731+00,2026-02-05 14:16:37.827731+00
01c5932a-8a96-4b39-a534-27b09b5ffa47,85a68b69-7fe1-45ed-8cd7-80ea02069961,2024-11-01,32,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.318+00,2026-02-07 02:22:24.996508+00
01ca6b4d-b0f1-4255-a81d-1d2a6992e0ce,29c49f53-7711-4605-96a5-a209d67426f3,2024-03-01,6,0,0,0,0,{},,2026-02-07 02:22:04.326+00,2026-02-07 02:22:20.379944+00
01cb1e66-d0b1-4bfd-964c-e2ad47dd0600,bc3991ed-14ac-488d-9f73-8e34799a2ec5,2024-02-01,13,0,0,0,0,{},,2026-02-07 02:22:04.329+00,2026-02-07 02:22:20.379944+00
01cdcb24-8bc5-4b4f-a7ca-bb647d6922bb,feebe351-440c-46a7-ac79-11d8f81444b1,2025-03-01,14,0,0,0,0,{},Imported via script,2026-02-05 14:16:13.911181+00,2026-02-05 14:16:13.911181+00
01d7b890-8531-4537-b6da-208a632e7f9f,92da807d-4395-4c80-8931-dbf61927d3e5,2025-11-01,90,0,0,0,0,{},Imported via script,2026-02-05 14:16:45.302068+00,2026-02-05 14:16:45.302068+00
01da3b5b-05bd-4205-ae08-f4e45ace53fc,8829bb5e-0c76-4967-93a6-0587dfe10725,2025-03-01,18,0,0,0,0,{},Imported via script,2026-02-05 14:16:13.911181+00,2026-02-05 14:16:13.911181+00
01dc6533-90a2-479a-9f62-53b3f99ebc4d,fc96a8e0-adfb-48df-a744-cd92c853f9d4,2024-12-01,34,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.326+00,2026-02-07 02:22:24.996508+00
01e2ef38-034e-411c-b6e8-8a58ce8e5b14,feebe351-440c-46a7-ac79-11d8f81444b1,2025-09-01,14,0,0,0,0,{},Imported via script,2026-02-05 14:16:37.827731+00,2026-02-05 14:16:37.827731+00
01e38edd-8c2d-4155-8325-67e1306eec25,5ecfb691-9f1f-4122-a37b-5b2ebb1f1ffa,2023-02-01,19,1,0,1,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.318+00,2026-02-07 02:22:06.98503+00
01e3ea6b-8628-405c-9d8e-ab5b05ce67dc,8b4f0d56-b76d-4022-9f53-1bb85beef78d,2023-03-01,20,1,0,1,0,{},,2026-02-07 02:22:04.317+00,2026-02-07 02:22:06.98503+00
01eabab3-881b-46ee-8c5c-37b2bebeda0a,9f864ccd-229f-4c78-9355-34f35cf513c0,2023-08-01,12,0,0,0,0,{},,2026-02-07 02:22:04.32+00,2026-02-07 02:22:14.455107+00
01ec69a0-9199-47d3-a403-b720beb76666,ecfef199-c709-4765-b34e-04af9091b727,2024-10-01,46,0,0,0,3,"{""mgmt"":1,""tech"":0,""general"":2}",,2026-02-07 02:22:04.323+00,2026-02-07 02:22:24.996508+00
01edfbd5-b064-4427-838b-1d6092f25791,ec474cc7-fcb2-47c2-9a72-93c80a50be6e,2025-09-01,32,0,0,0,0,{},Imported via script,2026-02-05 14:16:37.827731+00,2026-02-05 14:16:37.827731+00
01efc2c1-ac0b-4b47-9926-69f62a549891,6b3ff796-e21a-4399-9843-dc6ae64e7db0,2023-10-01,30,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.322+00,2026-02-07 02:22:14.455107+00
01effd19-eec2-4d48-9c2f-63a314a46d43,d4281855-43dc-4727-a036-5257bc4a7a1c,2023-08-01,20,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.318+00,2026-02-07 02:22:14.455107+00
01f0d342-0fa9-4355-9b56-db44994fbd02,85a68b69-7fe1-45ed-8cd7-80ea02069961,2024-03-01,31,0,0,0,0,{},,2026-02-07 02:22:04.318+00,2026-02-07 02:22:20.379944+00
01f0f93c-2901-4256-90ca-735d028faf1f,7fb0b707-9e03-4bf1-a554-71eec9c51b12,2024-01-01,16,0,0,0,0,{},,2026-02-07 02:22:04.318+00,2026-02-07 02:22:15.995765+00
01f36f33-2b08-4001-a3a9-ef8bee1755ec,3243eb97-6672-4956-9677-0becc8421b9f,2025-12-01,35,0,0,0,0,{},Imported via script,2026-02-05 14:16:48.618047+00,2026-02-05 14:16:48.618047+00
01f5734b-c967-48c3-82c5-ab25f3bd06be,d10fe457-f881-40f6-b981-808300799c27,2024-05-01,471,13,2,11,4,"{""mgmt"":2,""tech"":0,""general"":2}",,2026-02-07 02:22:04.322+00,2026-02-07 02:22:20.379944+00
01fbabf9-5e60-494a-ad09-9191a05492d5,f28b3998-de1e-4cc9-b97c-df308dfcfefa,2025-01-01,7,0,0,0,0,{},Imported via script,2026-02-05 14:16:06.077037+00,2026-02-05 14:16:06.077037+00
02059a49-8124-403a-8b92-cc67d138ae6e,53e1a7e0-0b3c-41e5-8452-111dfc1be6f5,2023-08-01,37,0,0,0,0,{},,2026-02-07 02:22:04.324+00,2026-02-07 02:22:14.455107+00
020b6277-1812-4e03-ae70-a62e9b7b7774,a7ae9c69-6c36-4404-8f9c-a56365aea6a4,2025-06-01,13,0,0,0,0,{},Imported via script,2026-02-05 14:16:27.792001+00,2026-02-05 14:16:27.792001+00
020b7a63-bd37-4e01-b886-e535831b5a77,12bb0639-4622-495b-a91a-5bf0acf1f569,2024-10-01,12,0,0,0,0,{},,2026-02-07 02:22:04.321+00,2026-02-07 02:22:24.996508+00
021b8bf4-33f7-4fbc-983a-09f0bbdb7a8f,99041dba-e1ce-4f5e-ba0c-edd8b74a0b88,2024-02-01,128,0,1,-1,2,"{""mgmt"":1,""tech"":0,""general"":1}",,2026-02-07 02:22:04.319+00,2026-02-07 02:22:15.995765+00
021d6260-9c0a-4714-ac30-6427ca9a8785,692b6dce-268d-4379-a8da-73f576ea14bd,2025-07-01,60,0,0,0,0,{},Imported via script,2026-02-05 14:16:31.116306+00,2026-02-05 14:16:31.116306+00
022212f8-93ef-4bda-b988-ddd80de7390b,7d0d8094-a59e-41a2-8361-453f53e892dd,2025-08-01,34,0,0,0,10,"{""mgmt"":1,""tech"":1,""general"":8}",Imported via script,2026-02-05 14:16:33.745632+00,2026-02-05 14:16:33.745632+00
02383b40-a9d5-4a6b-9f63-6f2269abb7b5,ff265fae-9e6f-46fc-979b-54d136b2f4f5,2023-03-01,59,1,1,0,3,"{""mgmt"":1,""tech"":0,""general"":2}",,2026-02-07 02:22:04.319+00,2026-02-07 02:22:06.98503+00
023e4f3e-b129-44d4-9c18-c45d1d59fb9a,5e2f7041-2bee-40be-b890-8aa92238731d,2024-12-01,10,0,0,0,0,{},,2026-02-07 02:22:04.319+00,2026-02-07 02:22:24.996508+00
0242c685-b134-467a-b244-c5b297ce1090,737ab853-54e8-487f-ae3f-0736a4cc3dae,2023-11-01,37,0,0,0,0,{},,2026-02-07 02:22:04.326+00,2026-02-07 02:22:15.995765+00
02475b97-3007-4e46-9624-761ae86eda6e,97437cfc-0671-4687-b482-7ee2393995cd,2024-11-01,36,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.319+00,2026-02-07 02:22:24.996508+00
02484641-1f17-4eba-962c-55ab67afed9c,83f82777-4602-4dff-9ac2-9c61753a6dc8,2023-02-01,66,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.321+00,2026-02-07 02:22:06.98503+00
024f489a-dc73-460c-9e75-4794da83ee3f,cedd9201-78ff-45c3-8b62-0eceb5cdd854,2024-01-01,27,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.324+00,2026-02-07 02:22:15.995765+00
025f08c3-221d-4004-b584-8160cb28859a,d7d79efa-5d0a-4ce2-b40f-84790360ea6f,2023-10-01,24,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.326+00,2026-02-07 02:22:14.455107+00
02663345-482c-4eef-8365-c1c82e378a20,92ac5792-3b94-42b7-bb99-cd7c5799b85f,2025-05-01,6,0,0,0,0,{},Imported via script,2026-02-05 14:16:22.763428+00,2026-02-05 14:16:22.763428+00
0271f1cd-d7ec-424e-b481-9ba38d26c5f7,0e50fcfa-b6fc-410d-a901-bf5aa90d0a78,2024-11-01,48,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.318+00,2026-02-07 02:22:24.996508+00
02783129-0167-484e-86cf-9c2906c6b530,2415cd81-834e-4fcf-b150-08f3dd0bbd84,2025-12-01,15,0,0,0,0,{},Imported via script,2026-02-05 14:16:48.618047+00,2026-02-05 14:16:48.618047+00
02908ed2-6589-468b-884e-20fd3263ff5c,4772f1d4-f1a2-4b15-9f8f-2dca69a404e4,2024-12-01,440,3,4,-1,9,"{""mgmt"":2,""tech"":1,""general"":6}",,2026-02-07 02:22:04.322+00,2026-02-07 02:22:24.996508+00
0291447f-def4-43af-be93-f521bc2d29cd,2c628ab8-73dc-4dd2-9a6f-b62b0850375c,2025-10-01,16,0,0,0,0,{},Imported via script,2026-02-05 14:16:42.039794+00,2026-02-05 14:16:42.039794+00
0296c2a1-d75e-4de3-ad1f-2cfd6fccbd08,d4281855-43dc-4727-a036-5257bc4a7a1c,2025-06-01,18,0,0,0,0,{},Imported via script,2026-02-05 14:16:27.792001+00,2026-02-05 14:16:27.792001+00
029fa831-ee81-4e99-8133-0e26225dfda7,31666300-7da2-4a49-bc2b-bb1623d882c5,2025-06-01,90,0,0,0,0,{},Imported via script,2026-02-05 14:16:27.792001+00,2026-02-05 14:16:27.792001+00
02acc7d8-3f37-49e6-a1ee-63683e00ede9,238e26f2-c406-4bf8-9158-7bb73379b3d8,2023-10-01,46,0,0,0,3,"{""mgmt"":1,""tech"":0,""general"":2}",,2026-02-07 02:22:04.323+00,2026-02-07 02:22:14.455107+00
02b4c851-2fcc-4a37-8ce5-2cf559799e30,2a8c358f-d8db-4e96-8b0d-b130c7d91dd3,2023-03-01,10,0,0,0,0,{},,2026-02-07 02:22:04.328+00,2026-02-07 02:22:06.98503+00
02b6d5e8-ee02-4ca9-975c-43e6d7658070,fe42c4d0-c101-4b0c-981d-9dc5cc1a702a,2025-06-01,183,0,0,0,0,{},Imported via script,2026-02-05 14:16:27.792001+00,2026-02-05 14:16:27.792001+00
02c5c4a3-de13-4b03-93a7-5e5c8a78e583,d5493169-b3a0-4f2f-8852-7e0684234be6,2025-11-01,9,0,0,0,0,{},Imported via script,2026-02-05 14:16:45.302068+00,2026-02-05 14:16:45.302068+00
02ca2f5b-b28f-4ec6-93f9-617efdfb65a8,5647718e-ce18-4c12-b0a7-f46ecf97b815,2023-02-01,57,3,0,3,3,"{""mgmt"":1,""tech"":1,""general"":1}",,2026-02-07 02:22:04.323+00,2026-02-07 02:22:06.98503+00
02d4918b-78a0-4ec1-b9ef-1d2b05faeeec,5da9038d-7c19-486c-99aa-359ed95399cd,2023-04-01,65,0,0,0,3,"{""mgmt"":1,""tech"":1,""general"":1}",,2026-02-07 02:22:04.325+00,2026-02-07 02:22:09.609481+00
02dbf7a7-8398-4dcb-a813-838e78cdac68,93a7d76a-1bcd-4502-9a26-9cc0875bc898,2024-05-01,10,0,0,0,0,{},,2026-02-07 02:22:04.317+00,2026-02-07 02:22:20.379944+00
02ddbe98-ed61-48c5-b664-855c90e2268e,6d79bb18-0bcb-461d-be14-75eea971df23,2025-05-01,131,9,0,9,10,"{""mgmt"":2,""tech"":4,""general"":4}",Imported via script,2026-02-05 14:16:22.763428+00,2026-02-05 14:16:22.763428+00
02ed6fab-75ce-448f-a2f4-65fce619d14b,692b6dce-268d-4379-a8da-73f576ea14bd,2025-04-01,60,0,0,0,0,{},Imported via script,2026-02-05 14:16:17.304151+00,2026-02-05 14:16:17.304151+00
02f6038f-56c0-432e-b839-82968584e3f9,d7d79efa-5d0a-4ce2-b40f-84790360ea6f,2023-03-01,24,1,0,1,0,{},,2026-02-07 02:22:04.326+00,2026-02-07 02:22:06.98503+00
02fb40a8-ef54-4211-8892-354a21ed88cb,4bc19e59-637d-4355-866c-5613f5e2da1a,2023-03-01,883,50,13,37,16,"{""mgmt"":2,""tech"":3,""general"":11}",,2026-02-07 02:22:04.327+00,2026-02-07 02:22:06.98503+00
0311b94f-c6f9-478a-83e9-031ce52f0148,85a68b69-7fe1-45ed-8cd7-80ea02069961,2024-04-01,31,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.318+00,2026-02-07 02:22:20.379944+00
031e13ac-5998-496a-adb3-6ed0f6dc8a00,d83ba2bb-48a5-48a7-9630-bdfec7fbfe18,2025-02-01,1270,95,73,22,50,"{""mgmt"":10,""tech"":20,""general"":20}",Imported via script,2026-02-05 14:16:09.738856+00,2026-02-05 14:16:09.738856+00
03294269-b7e3-477e-babf-60bafa5fff9d,95572d49-2c85-4540-bf65-894b29d27595,2024-06-01,60,0,0,0,3,"{""mgmt"":1,""tech"":1,""general"":1}",,2026-02-07 02:22:04.323+00,2026-02-07 02:22:22.029595+00
03299f75-03e3-4d9b-aa2f-4dbc4381f4a0,040efea9-a211-4f3d-ae6e-0da781846708,2023-07-01,63,0,0,0,3,"{""mgmt"":2,""tech"":0,""general"":1}",,2026-02-07 02:22:04.324+00,2026-02-07 02:22:09.609481+00
